barcode,name,description,category,subcategory,price,stock
100000001,Red Horse Beer,Strong Filipino beer,Beer,Lager,120,50
100000002,Smirnoff Vodka,Classic vodka spirit,Spirits,Vodka,650,25
,Pringles Original,Crispy potato chips,Snacks,Chips,150,40
,San Mig Light Can 330ml,Light beer in 330ml can,Beer,Lager,65,120
,Red Horse Beer 500ml,Strong beer in 500ml bottle,Beer,Strong Beer,95,80
,Heineken Bottle 330ml,Imported premium lager beer,Beer,Imported Beer,110,60
,Emperador Light 750ml,Light brandy good for casual drinking,Brandy,Local Brandy,185,40
,Fundador Solera 700ml,Spanish brandy with smooth taste,Brandy,Imported Brandy,499,25
,Alfonso Light 1L,Smooth local brandy in 1 liter bottle,Brandy,Local Brandy,245,35
,Smirnoff Mule 330ml,Vodka mixed drink in ready to drink bottle,Ready To Drink,Vodka Mix,89,70
,Absolut Vodka 700ml,Classic imported vodka for cocktails,Vodka,Imported Vodka,720,18
,Jack Daniels No 7 700ml,Premium Tennessee whiskey,Whiskey,Imported Whiskey,1450,12
,Black Label 750ml,Blended Scotch whisky with rich flavor,Whiskey,Scotch,1890,10